file,type,pprop,ptrend
wrong_false_all_10,current_try,0.4068133307566072,0.4068133307566071
correct_true_all_10,current_try,0.411495085716829,0.4114950857168279
wrong_true_all_10,current_try,0.41382582880304597,0.41382582880304786
correct_false_all_10,current_try,0.40993811497922394,0.4099381149792217
correct_false_all_10,q_0_age_answer,0.20215702748086434,0.9907758547551259
correct_true_all_10,q_0_age_answer,0.7747369786886449,0.43910519099191936
wrong_false_all_10,q_0_age_answer,0.03344521103670936,0.2560442521495324
wrong_true_all_10,q_0_age_answer,0.547082656859045,0.23563754454863084
wrong_true_all_10,q_0_school_answer,0.25336972730471785,0.7990624541667961
correct_false_all_10,q_0_school_answer,0.18617108507124694,0.6344464182913826
correct_true_all_10,q_0_school_answer,0.2345295231550226,0.5611148776353702
wrong_false_all_10,q_0_school_answer,0.7417805927590209,0.4849627388256628
wrong_false_all_10,q_0_taxes_answer,0.05135983403323052,0.601051825812938
correct_true_all_10,q_0_taxes_answer,0.3485143677322261,0.010547315939528026
correct_false_all_10,q_0_taxes_answer,0.24348520277917007,0.7426712267012542
wrong_true_all_10,q_0_taxes_answer,0.5784250456045822,0.8481991806645139
correct_true_all_10,q_0_political_views_answer,0.2066894645449005,0.13129680641937846
wrong_false_all_10,q_0_political_views_answer,0.23740269228526606,0.2804269880436097
correct_false_all_10,q_0_political_views_answer,0.5303238319266774,0.20070956503868873
wrong_true_all_10,q_0_political_views_answer,0.37956430400108576,0.2403728723349724
correct_false_all_10,q_0_consideration_answer,0.36591904664241964,
correct_true_all_10,q_0_consideration_answer,0.4556315315173023,
wrong_false_all_10,q_0_consideration_answer,0.7368321471355976,
wrong_true_all_10,q_0_consideration_answer,0.9784108055361386,
correct_false_all_10,q_0_southern_border_answer,0.31610955977474064,0.13550136172050897
correct_true_all_10,q_0_southern_border_answer,0.05005699325935122,0.015181787166925845
wrong_false_all_10,q_0_southern_border_answer,0.32147771353624266,0.1371371285692856
wrong_true_all_10,q_0_southern_border_answer,0.45293038512760964,0.7306562644835694
correct_false_all_10,q_0_environment_answer,0.07313710076088252,0.022955224000111435
correct_true_all_10,q_0_environment_answer,0.7854795748590154,0.5412873644429709
wrong_false_all_10,q_0_environment_answer,0.14198824726114415,0.06316693894202088
wrong_true_all_10,q_0_environment_answer,0.702487143797661,0.4219486953360243
correct_false_all_10,q_1_farmers_value,0.730111539194545,
correct_true_all_10,q_1_farmers_value,0.6652382346452812,
wrong_false_all_10,q_1_farmers_value,0.2974685157221163,
wrong_true_all_10,q_1_farmers_value,0.6241856474752316,
correct_false_all_10,q_2_marks_value,0.17644055607151882,
correct_true_all_10,q_2_marks_value,0.7455579523607583,
wrong_false_all_10,q_2_marks_value,0.621834789148922,
wrong_true_all_10,q_2_marks_value,0.1471789208982562,
correct_false_all_10,q_3_athletics_value,0.017498330640355143,
correct_true_all_10,q_3_athletics_value,0.5876268812029117,
wrong_false_all_10,q_3_athletics_value,0.7805027762338764,
wrong_true_all_10,q_3_athletics_value,0.9451969854259026,
wrong_true_all_10,doc_index,4.230510083663179e-06,0.4516801386311905
wrong_false_all_10,doc_index,0.14882839036720108,0.08425130828201344
correct_false_all_10,doc_index,0.4259121432465308,0.9825297341522728
correct_true_all_10,doc_index,0.6146544220302709,0.43341461112010904
wrong_true_all_10,doc_name,1.0458998860522539e-19,
wrong_false_all_10,doc_name,0.0015264707840880643,
correct_true_all_10,doc_name,1.8270566134765444e-14,
correct_false_all_10,doc_name,0.20696398145216718,
wrong_true_all_10,doc_claimant,2.8837762548956547e-40,
wrong_false_all_10,doc_claimant,2.9818253005908413e-27,
correct_true_all_10,doc_claimant,3.574234012630483e-34,
correct_false_all_10,doc_claimant,2.338413463921644e-27,
wrong_true_all_10,doc_date,3.77171508256169e-09,0.05939236984569521
wrong_false_all_10,doc_date,6.366686989363377e-07,0.5828517248373616
correct_false_all_10,doc_date,1.5411584295864683e-06,0.00010898622114711848
correct_true_all_10,doc_date,4.6021584835890896e-05,0.010540904072571302
wrong_true_all_10,doc_source,8.260128320755255e-12,
wrong_false_all_10,doc_source,0.02403526415116537,
correct_true_all_10,doc_source,0.9315826493026496,
correct_false_all_10,doc_source,0.862826896803564,
wrong_true_all_10,doc_overall-truthfulness_value,9.479949003207337e-06,1.332373855068745e-06
correct_false_all_10,doc_overall-truthfulness_value,3.095670232991562e-07,1.819338987347458e-08
correct_true_all_10,doc_overall-truthfulness_value,1.0354491357695536e-05,3.6609499555323628e-06
wrong_false_all_10,doc_overall-truthfulness_value,1.670561835221705e-06,2.9025373234891765e-08
wrong_true_all_10,doc_confidence_value,0.13535760575684466,0.008140117455674159
correct_false_all_10,doc_confidence_value,0.04611806221479571,0.05447639505774704
correct_true_all_10,doc_confidence_value,0.0005709114710788348,0.00012217342740898385
wrong_false_all_10,doc_confidence_value,0.5759686176647785,0.8651831828950198
wrong_true_all_10,doc_correctness_value,3.12984488622206e-07,1.4692720670301633e-08
correct_false_all_10,doc_correctness_value,3.266598017949551e-05,2.263548345658144e-06
correct_true_all_10,doc_correctness_value,0.0016891135737614352,0.0003609524778283058
wrong_false_all_10,doc_correctness_value,0.0009346500978742677,8.764779826158677e-05
wrong_true_all_10,doc_neutrality_value,0.10969844708605928,0.1157174915254702
correct_false_all_10,doc_neutrality_value,7.395656652261138e-05,0.0038395980885188394
correct_true_all_10,doc_neutrality_value,0.12038529296904059,0.011081784098533581
wrong_false_all_10,doc_neutrality_value,0.060786759816676805,0.06804306022869183
wrong_true_all_10,doc_comprehensibility_value,0.057267146749029905,0.42614143712087077
correct_false_all_10,doc_comprehensibility_value,0.6663034136363322,0.4596126772992347
correct_true_all_10,doc_comprehensibility_value,0.11824172620755903,0.023081988546246313
wrong_false_all_10,doc_comprehensibility_value,0.25064334142135075,0.02705699507376297
wrong_true_all_10,doc_precision_value,0.09041129484565144,0.1885899461155663
correct_false_all_10,doc_precision_value,0.9407530462209793,0.7492095043262894
correct_true_all_10,doc_precision_value,0.05458114327260277,0.006005384437546325
wrong_false_all_10,doc_precision_value,0.2847688330007491,0.03285017133721586
wrong_true_all_10,doc_completeness_value,0.031195581401046394,0.013206031807027003
correct_false_all_10,doc_completeness_value,0.5878919142475252,0.17568803510261882
correct_true_all_10,doc_completeness_value,0.24726250772990382,0.04570780625736508
wrong_false_all_10,doc_completeness_value,0.23629749038476086,0.12941497076357517
wrong_true_all_10,doc_speaker's-trustworthiness_value,0.007259923838537001,0.0003080357316276898
correct_false_all_10,doc_speaker's-trustworthiness_value,0.0005636532246445012,1.2112073894707734e-05
correct_true_all_10,doc_speaker's-trustworthiness_value,0.06985657055352254,0.008066740513760497
wrong_false_all_10,doc_speaker's-trustworthiness_value,0.00109010640402781,0.0001072107867734008
wrong_true_all_10,doc_informativeness_value,0.0333963181764721,0.0048033299088603406
correct_false_all_10,doc_informativeness_value,0.10273360307943553,0.011144098464064433
correct_true_all_10,doc_informativeness_value,0.009957808648151045,0.0005879791947715342
wrong_false_all_10,doc_informativeness_value,0.022566829870675775,0.0008303646299065765
correct_false_all_10,doc_accesses,0.9309271911447508,0.719986379994599
wrong_true_all_10,doc_accesses,0.5681550619489782,0.9875009754154042
wrong_false_all_10,doc_accesses,0.3209067877617751,0.42641349117918936
correct_true_all_10,doc_accesses,0.717708386912273,0.6097394231286493
correct_false_all_10,doc_overall-truthfulness_url,2.4380030978640118e-05,
correct_true_all_10,doc_overall-truthfulness_url,0.45862555431876795,
wrong_false_all_10,doc_overall-truthfulness_url,0.219537838806336,
wrong_true_all_10,doc_overall-truthfulness_url,0.603611504838951,
correct_false_all_10,query_amount,0.17941190104127064,0.023297427944902194
wrong_false_all_10,query_amount,0.8387285468325717,0.7934199476811175
wrong_true_all_10,query_amount,0.004656691351722281,0.00021291703705816943
correct_true_all_10,query_amount,0.22435732074639952,0.03358716014816504
wrong_false_all_10,response_position,0.2691293723034148,0.6089872369511952
correct_false_all_10,response_position,0.5778598126207042,0.5553958476485215
wrong_true_all_10,response_position,0.3164395953595748,0.3909441480888602
correct_true_all_10,response_position,0.24828952192435125,0.9459870406193461
wrong_true_all_10,selected_amount,0.8408554369328559,0.6384915908700164
wrong_false_all_10,selected_amount,0.8350742929316279,0.38465545806815776
correct_false_all_10,selected_amount,0.7048866095548388,0.7979528505303732
correct_true_all_10,selected_amount,0.7558146844053055,0.48712850377668665
