dimension,type,pval_res,pval_bonf,significant_005,significant_bonf
current_try,correct_false_all,0.6034750961171595,0.0125,no,no
current_try,correct_true_all,0.650288679825489,0.0125,no,no
current_try,wrong_false_all,0.12469506054243895,0.0125,no,no
current_try,wrong_true_all,0.6034750961171595,0.0125,no,no
q_0_age_answer,correct_false_all,0.24459637749802976,0.0125,no,no
q_0_age_answer,correct_true_all,0.9962898829173396,0.0125,no,no
q_0_age_answer,wrong_false_all,0.24311978847473278,0.0125,no,no
q_0_age_answer,wrong_true_all,4.1090184424393757e-07,0.0125,yes,yes
q_0_school_answer,correct_false_all,0.026343234952840012,0.0125,yes,no
q_0_school_answer,correct_true_all,0.5017111719031523,0.0125,no,no
q_0_school_answer,wrong_false_all,0.23294578724173048,0.0125,no,no
q_0_school_answer,wrong_true_all,3.534738898817729e-05,0.0125,yes,yes
q_0_taxes_answer,correct_false_all,0.009621733811448931,0.0125,yes,yes
q_0_taxes_answer,correct_true_all,0.963818510025765,0.0125,no,no
q_0_taxes_answer,wrong_false_all,0.46842522046471524,0.0125,no,no
q_0_taxes_answer,wrong_true_all,1.242445327984331e-09,0.0125,yes,yes
q_0_political_views_answer,correct_false_all,0.00014651924081006054,0.0125,yes,yes
q_0_political_views_answer,correct_true_all,0.06972888649262021,0.0125,no,no
q_0_political_views_answer,wrong_false_all,0.05553626662792849,0.0125,no,no
q_0_political_views_answer,wrong_true_all,0.0066563913910187705,0.0125,yes,yes
q_0_consideration_answer,correct_false_all,0.03911147673226447,0.0125,yes,no
q_0_consideration_answer,correct_true_all,0.9898775387261213,0.0125,no,no
q_0_consideration_answer,wrong_false_all,0.044567741522743766,0.0125,yes,no
q_0_consideration_answer,wrong_true_all,0.0006676605363452878,0.0125,yes,yes
q_0_southern_border_answer,correct_false_all,4.203916727554495e-06,0.0125,yes,yes
q_0_southern_border_answer,correct_true_all,0.4244204412720062,0.0125,no,no
q_0_southern_border_answer,wrong_false_all,0.2246485917604009,0.0125,no,no
q_0_southern_border_answer,wrong_true_all,0.007591334118645301,0.0125,yes,yes
q_0_environment_answer,correct_false_all,0.7880364082141977,0.0125,no,no
q_0_environment_answer,correct_true_all,0.148363393614504,0.0125,no,no
q_0_environment_answer,wrong_false_all,0.3824388783845543,0.0125,no,no
q_0_environment_answer,wrong_true_all,2.2782858195483326e-05,0.0125,yes,yes
q_1_farmers_value,correct_false_all,0.0005512212892493049,0.0125,yes,yes
q_1_farmers_value,correct_true_all,0.44175632742491944,0.0125,no,no
q_1_farmers_value,wrong_false_all,0.0063860232827070715,0.0125,yes,yes
q_1_farmers_value,wrong_true_all,0.2665205258050075,0.0125,no,no
q_2_marks_value,correct_false_all,0.02131174204966575,0.0125,yes,no
q_2_marks_value,correct_true_all,0.3623766478274387,0.0125,no,no
q_2_marks_value,wrong_false_all,0.1375152321298058,0.0125,no,no
q_2_marks_value,wrong_true_all,0.11052133827191844,0.0125,no,no
q_3_athletics_value,correct_false_all,0.29116382286121567,0.0125,no,no
q_3_athletics_value,correct_true_all,0.43391064751468333,0.0125,no,no
q_3_athletics_value,wrong_false_all,0.8542385222603294,0.0125,no,no
q_3_athletics_value,wrong_true_all,0.288326712066164,0.0125,no,no
doc_index,correct_false_all,0.34076486274969764,0.0125,no,no
doc_index,correct_true_all,0.7131742544541959,0.0125,no,no
doc_index,wrong_false_all,0.0029958020925947453,0.0125,yes,yes
doc_index,wrong_true_all,8.726706172134961e-06,0.0125,yes,yes
doc_name,correct_false_all,0.8272223928033766,0.0125,no,no
doc_name,correct_true_all,0.1273410741570723,0.0125,no,no
doc_name,wrong_false_all,0.627037722760535,0.0125,no,no
doc_name,wrong_true_all,0.004438642527650589,0.0125,yes,yes
doc_claimant,correct_false_all,0.0006734359426762639,0.0125,yes,yes
doc_claimant,correct_true_all,0.7107380600622539,0.0125,no,no
doc_claimant,wrong_false_all,0.25014848515516575,0.0125,no,no
doc_claimant,wrong_true_all,2.8220840980340567e-19,0.0125,yes,yes
doc_date,correct_false_all,0.01428958725128568,0.0125,yes,no
doc_date,correct_true_all,0.2512051294319502,0.0125,no,no
doc_date,wrong_false_all,0.4725231628130605,0.0125,no,no
doc_date,wrong_true_all,0.8970577112741154,0.0125,no,no
doc_source,correct_false_all,0.855725415320072,0.0125,no,no
doc_source,correct_true_all,0.44175632742491944,0.0125,no,no
doc_source,wrong_false_all,0.36330214088689816,0.0125,no,no
doc_source,wrong_true_all,0.2665205258050075,0.0125,no,no
doc_overall-truthfulness_value,correct_false_all,1.937612210520001e-134,0.0125,yes,yes
doc_overall-truthfulness_value,correct_true_all,2.2533258606247575e-60,0.0125,yes,yes
doc_overall-truthfulness_value,wrong_false_all,3.275074366721499e-108,0.0125,yes,yes
doc_overall-truthfulness_value,wrong_true_all,0.0,0.0125,yes,yes
doc_confidence_value,correct_false_all,0.2224333132228601,0.0125,no,no
doc_confidence_value,correct_true_all,0.0002636589358931947,0.0125,yes,yes
doc_confidence_value,wrong_false_all,3.7682610815873417e-07,0.0125,yes,yes
doc_confidence_value,wrong_true_all,5.6866669050038845e-21,0.0125,yes,yes
doc_correctness_value,correct_false_all,3.1591444142502763e-69,0.0125,yes,yes
doc_correctness_value,correct_true_all,6.899900538558252e-20,0.0125,yes,yes
doc_correctness_value,wrong_false_all,1.0730436949661302e-25,0.0125,yes,yes
doc_correctness_value,wrong_true_all,1.4959738902695744e-113,0.0125,yes,yes
doc_neutrality_value,correct_false_all,2.6979270552522034e-22,0.0125,yes,yes
doc_neutrality_value,correct_true_all,2.5997888759828306e-09,0.0125,yes,yes
doc_neutrality_value,wrong_false_all,1.0527357738203684e-10,0.0125,yes,yes
doc_neutrality_value,wrong_true_all,1.2046343672535041e-36,0.0125,yes,yes
doc_comprehensibility_value,correct_false_all,4.212669083282246e-11,0.0125,yes,yes
doc_comprehensibility_value,correct_true_all,2.4429299642051807e-08,0.0125,yes,yes
doc_comprehensibility_value,wrong_false_all,2.157151936042707e-09,0.0125,yes,yes
doc_comprehensibility_value,wrong_true_all,1.2713691729660013e-108,0.0125,yes,yes
doc_precision_value,correct_false_all,2.180463108094592e-12,0.0125,yes,yes
doc_precision_value,correct_true_all,8.624335189211779e-09,0.0125,yes,yes
doc_precision_value,wrong_false_all,1.4416072419381419e-08,0.0125,yes,yes
doc_precision_value,wrong_true_all,3.296574953170589e-57,0.0125,yes,yes
doc_completeness_value,correct_false_all,1.4573014672566556e-17,0.0125,yes,yes
doc_completeness_value,correct_true_all,6.091945813724831e-11,0.0125,yes,yes
doc_completeness_value,wrong_false_all,9.641269011670477e-14,0.0125,yes,yes
doc_completeness_value,wrong_true_all,2.5721865930074406e-68,0.0125,yes,yes
doc_speaker's-trustworthiness_value,correct_false_all,2.7228540290775338e-45,0.0125,yes,yes
doc_speaker's-trustworthiness_value,correct_true_all,5.485974046992029e-13,0.0125,yes,yes
doc_speaker's-trustworthiness_value,wrong_false_all,7.300979145360794e-24,0.0125,yes,yes
doc_speaker's-trustworthiness_value,wrong_true_all,2.7037172184531882e-48,0.0125,yes,yes
doc_informativeness_value,correct_false_all,1.6689147928411031e-34,0.0125,yes,yes
doc_informativeness_value,correct_true_all,3.722476912172707e-15,0.0125,yes,yes
doc_informativeness_value,wrong_false_all,7.370370407341606e-23,0.0125,yes,yes
doc_informativeness_value,wrong_true_all,6.807942092547198e-83,0.0125,yes,yes
doc_accesses,correct_false_all,0.46929851941719847,0.0125,no,no
doc_accesses,correct_true_all,0.033563405973617365,0.0125,yes,no
doc_accesses,wrong_false_all,2.1502669352520007e-05,0.0125,yes,yes
doc_accesses,wrong_true_all,0.16308699602772045,0.0125,no,no
doc_overall-truthfulness_url,correct_false_all,1.015196473891903e-06,0.0125,yes,yes
doc_overall-truthfulness_url,correct_true_all,0.9996146948234635,0.0125,no,no
doc_overall-truthfulness_url,wrong_false_all,0.003220795827566004,0.0125,yes,yes
doc_overall-truthfulness_url,wrong_true_all,3.1662194239372425e-111,0.0125,yes,yes
query_amount,correct_false_all,6.754804158067727e-05,0.0125,yes,yes
query_amount,correct_true_all,0.9244591637482013,0.0125,no,no
query_amount,wrong_false_all,0.9182022742749771,0.0125,no,no
query_amount,wrong_true_all,3.30052957879714e-05,0.0125,yes,yes
response_position,correct_false_all,4.797051156034742e-05,0.0125,yes,yes
response_position,correct_true_all,0.9787183155745149,0.0125,no,no
response_position,wrong_false_all,0.28108239798938334,0.0125,no,no
response_position,wrong_true_all,1.958034970113869e-06,0.0125,yes,yes
selected_amount,correct_false_all,0.8871589063229046,0.0125,no,no
selected_amount,correct_true_all,0.8742624768447954,0.0125,no,no
selected_amount,wrong_false_all,0.44212052341707897,0.0125,no,no
selected_amount,wrong_true_all,8.112251794623861e-27,0.0125,yes,yes
