type,doc_statement,current_try,q_0_age_answer,q_0_school_answer,q_0_taxes_answer,q_0_political_views_answer,q_0_consideration_answer,q_0_southern_border_answer,q_0_environment_answer,q_1_farmers_value,q_2_marks_value,q_3_athletics_value,doc_index,doc_truthfulness_value,doc_accesses,fre,doc_time_elapsed
correct_false_5,Italy arrested a doctorfor intentionally killing over 3000 coronavirus patientsâ,1.0,36-50 (1.50),4 year college/bachelor degree (1.80),"75,000 to less than 100,000 (5.90)",Moderate (1.80),Democrat (1.00),No opinion either way (0.80),Agree (1.80),wrong value (0.40),wrong value (0.50),wrong value (0.40),4.0,0.6,1.0,19.03,181.096
correct_false_5,the US is developing anantivirusï½ that includes a chip to track your movement,1.1,26-35 (1.00),4 year college/bachelor degree (1.90),"40,000 to less than 50,000 (4.20)",Moderate (2.50),Democrat (1.30),Disagree (0.50),Agree (1.70),wrong value (0.50),wrong value (0.40),correct value (0.60),3.5,0.6,1.0,66.74,183.686
correct_false_5,Saysthere is noâ COVID19 virus,1.0,26-35 (1.40),4 year college/bachelor degree (1.80),"40,000 to less than 50,000 (4.50)",Moderate (1.70),Independent (1.50),No opinion either way (0.80),Agree (1.60),wrong value (0.40),wrong value (0.30),wrong value (0.50),3.4,0.9,1.0,117.16,204.859
correct_false_5,If your child gets this virus their going to hospital alone in a van with people they donât knowâto be with people they donât knowâ you will be at home without them in their time of need,1.0,26-35 (1.10),4 year college/bachelor degree (2.20),"40,000 to less than 50,000 (4.00)",Liberal (2.80),Democrat (1.20),Disagree (0.20),Agree (2.00),wrong value (0.40),correct value (0.70),wrong value (0.30),1.8,1.0,1.0,67.76,252.57800000000003
correct_false_5,COVID literally stands for Chinese Originated Viral Infectious Disease,1.1,26-35 (1.20),4 year college/bachelor degree (2.30),"75,000 to less than 100,000 (5.50)",Moderate (2.20),Democrat (1.40),No opinion either way (0.80),Agree (1.50),wrong value (0.30),wrong value (0.30),correct value (0.60),2.4,1.5,1.0,11.58,176.2188888888889
correct_true_5,Some states are only getting 50 tests per day and the Utah Jazz got 58,1.1,26-35 (1.00),4 year college/bachelor degree (1.90),"40,000 to less than 50,000 (4.20)",Moderate (2.50),Democrat (1.30),Disagree (0.50),Agree (1.70),wrong value (0.50),wrong value (0.40),correct value (0.60),3.1,4.0,1.2,98.55,151.408
correct_true_5,My mask will keep someone else safe and their mask will keep me safe,1.0,36-50 (1.50),4 year college/bachelor degree (1.80),"75,000 to less than 100,000 (5.90)",Moderate (1.80),Democrat (1.00),No opinion either way (0.80),Agree (1.80),wrong value (0.40),wrong value (0.50),wrong value (0.40),3.1,4.1,1.0,99.57,193.905
correct_true_5,On February 7 the WHO warned about the limited stock of PPE That same day the Trump administration announced it was sending 18 tons of masks gowns and respirators to China,1.1,26-35 (1.20),4 year college/bachelor degree (2.30),"75,000 to less than 100,000 (5.50)",Moderate (2.20),Democrat (1.40),No opinion either way (0.80),Agree (1.50),wrong value (0.30),wrong value (0.30),correct value (0.60),2.6,4.2,1.1,48.47,147.123
correct_true_5,Says most NC legislators are in the high risk age group for coronavirus,1.0,26-35 (0.90),Some college (etc.) (1.40),"50,000 to less than 75,000 (5.00)",Liberal (2.70),Democrat (0.90),No opinion either way (0.80),Agree (1.80),correct value (0.80),wrong value (0.50),wrong value (0.40),3.3,4.2,1.1,75.2,154.254
correct_true_5,Whole of Italy goes into quarantine,1.1,26-35 (1.40),4 year college/bachelor degree (1.90),"50,000 to less than 75,000 (5.00)",Moderate (2.50),Democrat (1.00),No opinion either way (0.80),Agree (1.70),correct value (0.60),wrong value (0.40),wrong value (0.20),3.4,4.6,1.1,73.85,117.58600000000001
wrong_false_5,A video says that the Vatican confirmed that Pope Francis and two aides tested positive for coronavirus,1.1,26-35 (1.10),4 year college/bachelor degree (1.70),"50,000 to less than 75,000 (4.60)",Moderate (2.20),Democrat (1.40),No opinion either way (1.00),Agree (1.60),wrong value (0.50),wrong value (0.40),correct value (0.60),4.3,1.6,1.1,62.67999999999999,134.052
wrong_false_5,A post sayhair weave and lace fronts manufactured in China may contain the coronavirusâ,1.1,26-35 (1.40),4 year college/bachelor degree (1.90),"50,000 to less than 75,000 (5.00)",Moderate (2.50),Democrat (1.00),No opinion either way (0.80),Agree (1.70),correct value (0.60),wrong value (0.40),wrong value (0.20),3.5,1.8,1.0,57.27,162.55599999999998
wrong_false_5,This particular pandemic is one where I donât think nationwide thereâs been a single fatality under 25,1.0,26-35 (0.90),Some college (etc.) (1.40),"50,000 to less than 75,000 (5.00)",Liberal (2.70),Democrat (0.90),No opinion either way (0.80),Agree (1.80),correct value (0.80),wrong value (0.50),wrong value (0.40),3.0,1.9,1.2,45.76,127.748
wrong_false_5,We inherited a broken testâ for COVID19,1.1,36-50 (1.50),4 year college/bachelor degree (1.50),"40,000 to less than 50,000 (4.10)",Moderate (2.40),Democrat (1.20),No opinion either way (0.80),Agree (1.60),wrong value (0.40),wrong value (0.30),wrong value (0.30),3.3,1.9,1.0,64.37,123.35499999999999
wrong_false_5,The government is closing businesses to stop the spread of coronavirus even though the numbers are nothing compared to H1N1 or Ebola Everyone needs to realize our government is up to something,1.0,26-35 (1.10),4 year college/bachelor degree (2.10),"40,000 to less than 50,000 (4.50)",Moderate (1.90),Democrat (1.00),No opinion either way (1.30),Agree (1.90),wrong value (0.20),wrong value (0.00),wrong value (0.40),5.4,2.4,1.0,39.0,135.478
wrong_true_5,Photo shows a crowded New York City subway train during stayathome order,1.1,36-50 (1.50),4 year college/bachelor degree (1.50),"40,000 to less than 50,000 (4.10)",Moderate (2.40),Democrat (1.20),No opinion either way (0.80),Agree (1.60),wrong value (0.40),wrong value (0.30),wrong value (0.30),3.1,2.7,1.0,59.3,171.725
wrong_true_5,Says of the coronavirus threatthere was not a single suggestion by anyone a doctor a scientist a political figure that we needed to cancel Mardi Grasâ,1.0,26-35 (1.10),4 year college/bachelor degree (2.20),"40,000 to less than 50,000 (4.00)",Liberal (2.80),Democrat (1.20),Disagree (0.20),Agree (2.00),wrong value (0.40),correct value (0.70),wrong value (0.30),3.1,3.1,1.0,45.09,243.76999999999998
wrong_true_5,Says longstanding Food and Drug Administration regulationscreated barriers to the private industry creating a test quicklyâ for the coronavirus,1.0,26-35 (1.10),4 year college/bachelor degree (2.10),"40,000 to less than 50,000 (4.50)",Moderate (1.90),Democrat (1.00),No opinion either way (1.30),Agree (1.90),wrong value (0.20),wrong value (0.00),wrong value (0.40),3.1,3.4,1.1,1.43,120.499
wrong_true_5,No city in the state can quarantine itself without state approval,1.0,26-35 (1.40),4 year college/bachelor degree (1.80),"40,000 to less than 50,000 (4.50)",Moderate (1.70),Independent (1.50),No opinion either way (0.80),Agree (1.60),wrong value (0.40),wrong value (0.30),wrong value (0.50),4.7,3.8,1.1,68.77,160.10899999999998
wrong_true_5,Says Spectrum will provide free internet to students during coronavirus school closures,1.1,26-35 (1.10),4 year college/bachelor degree (1.70),"50,000 to less than 75,000 (4.60)",Moderate (2.20),Democrat (1.40),No opinion either way (1.00),Agree (1.60),wrong value (0.50),wrong value (0.40),correct value (0.60),4.3,4.0,1.0,42.38,82.09299999999999
