batch,type,doc_statement,current_try,q_0_age_answer,q_0_school_answer,q_0_taxes_answer,q_0_political_views_answer,q_0_consideration_answer,q_0_southern_border_answer,q_0_environment_answer,q_1_farmers_value,q_2_marks_value,q_3_athletics_value,doc_index,doc_truthfulness_value,doc_accesses,fre,distance,doc_time_elapsed,doc_name,doc_claimant,doc_date,doc_originatedFrom,doc_ground_truth_label,categoria,statement,distanza,data,claimant
2,correct_15,Italy arrested a doctorfor intentionally killing over 3000 coronavirus patientsâ,1.0,36-50 (1.50),4 year college/bachelor degree (1.80),"75,000 to less than 100,000 (5.90)",Moderate (1.80),Democrat (1.00),No opinion either way (0.80),Agree (1.80),wrong value (0.40),wrong value (0.50),wrong value (0.40),4.0,0.6,1.0,19.03,0.6,181.096,pants-on-fire_doc10,Bloggers,2020-31-03,Blog Post,pants-on-fire,correct,Italy arrested a doctorfor intentionally killing over 3000 coronavirus patientsâ,0.6,2020-31-03,Bloggers
3,wrong_15,Italy arrested a doctor for intentionally killing over 3000 coronavirus patients,1.3,36-50 (1.60),4 year college/bachelor degree (2.50),"50,000 to less than 75,000 (5.10)",Moderate (1.80),Democrat (1.10),No opinion either way (1.40),Agree (1.80),wrong value (0.30),wrong value (0.10),wrong value (0.30),4.0,2.1,1.4,30.160000000000004,2.1,149.32666666666668,pants-on-fire_doc10,Bloggers,2020-31-03,Blog Post,pants-on-fire,wrong,Italy arrested a doctor for intentionally killing over 3000 coronavirus patients,2.1,2020-31-03,Bloggers
4,wrong_15,Italy arrested a doctorfor intentionally killing over 3000 coronavirus patientsÂ,1.0,26-35 (1.30),"Postgrad. or professional schooling, no degree (2.60)","30,000 to less than 40,000 (3.20)",Moderate (1.80),Republican (0.50),Agree (1.80),Agree (1.70),wrong value (0.30),wrong value (0.20),wrong value (0.40),4.0,3.0,1.0,19.03,3.0,135.014,pants-on-fire_doc10,Bloggers,2020-31-03,Blog Post,pants-on-fire,wrong,Italy arrested a doctorfor intentionally killing over 3000 coronavirus patientsÂ,3.0,2020-31-03,Bloggers
1,correct_15,COVID literally stands for Chinese Originated Viral Infectious Disease,1.0,26-35 (1.30),4 year college/bachelor degree (2.30),"50,000 to less than 75,000 (4.60)",Moderate (2.00),Democrat (1.00),Agree (1.50),Agree (1.60),correct value (0.70),wrong value (0.20),wrong value (0.50),2.4,0.8,1.0,11.58,0.8,200.125,pants-on-fire_doc4,Facebook Post,2020-25-03,Viral Image,pants-on-fire,correct,COVID literally stands for Chinese Originated Viral Infectious Disease,0.8,2020-25-03,Facebook Post
2,wrong_15,COVID literally stands for Chinese Originated Viral Infectious Disease,1.1,26-35 (1.20),4 year college/bachelor degree (2.30),"75,000 to less than 100,000 (5.50)",Moderate (2.20),Democrat (1.40),No opinion either way (0.80),Agree (1.50),wrong value (0.30),wrong value (0.30),correct value (0.60),2.4,1.5,1.0,11.58,1.5,176.2188888888889,pants-on-fire_doc4,Facebook Post,2020-25-03,Viral Image,pants-on-fire,wrong,COVID literally stands for Chinese Originated Viral Infectious Disease,1.5,2020-25-03,Facebook Post
4,wrong_15,COVID literally stands for Chinese Originated Viral Infectious Disease,1.9,26-35 (1.10),4 year college/bachelor degree (2.30),"50,000 to less than 75,000 (4.60)",Moderate (1.90),Democrat (0.80),Agree (1.80),Agree (1.80),wrong value (0.50),wrong value (0.10),wrong value (0.50),2.4,2.7,1.3,11.58,2.7,174.2588888888889,pants-on-fire_doc4,Facebook Post,2020-25-03,Viral Image,pants-on-fire,wrong,COVID literally stands for Chinese Originated Viral Infectious Disease,2.7,2020-25-03,Facebook Post
2,correct_15,the US is developing anantivirusï½ that includes a chip to track your movement,1.1,26-35 (1.00),4 year college/bachelor degree (1.90),"40,000 to less than 50,000 (4.20)",Moderate (2.50),Democrat (1.30),Disagree (0.50),Agree (1.70),wrong value (0.50),wrong value (0.40),correct value (0.60),3.5,0.6,1.0,66.74,0.6,183.686,pants-on-fire_doc9,Facebook User,2020-16-03,Facebook Post,pants-on-fire,correct,the US is developing anantivirusï½ that includes a chip to track your movement,0.6,2020-16-03,Facebook User
3,wrong_15,the US is developing an antivirus that includes a chip to track your movement,1.4,26-35 (1.00),4 year college/bachelor degree (2.30),"40,000 to less than 50,000 (3.90)",Moderate (2.00),Democrat (0.70),Agree (1.50),Agree (2.00),wrong value (0.40),wrong value (0.40),wrong value (0.40),3.5,2.3,1.2,71.955,2.3,152.36700000000002,pants-on-fire_doc9,Facebook User,2020-16-03,Facebook Post,pants-on-fire,wrong,the US is developing an antivirus that includes a chip to track your movement,2.3,2020-16-03,Facebook User
4,wrong_15,the US is developing anantivirusâ that includes a chip to track your movement,1.5,26-35 (1.30),"Postgrad. or professional schooling, no degree (2.60)","50,000 to less than 75,000 (4.70)",Conservative (1.40),Democrat (0.70),Agree (1.80),Agree (2.00),wrong value (0.30),wrong value (0.00),wrong value (0.10),3.5,2.9,1.4,66.74,2.9,105.441,pants-on-fire_doc9,Facebook User,2020-16-03,Facebook Post,pants-on-fire,wrong,the US is developing anantivirusâ that includes a chip to track your movement,2.9,2020-16-03,Facebook User
2,correct_15,Says COVID19 remains in the air for eight hours and that everyone is now required to wear maskseverywhereï½,1.1,26-35 (1.00),4 year college/bachelor degree (1.90),"40,000 to less than 50,000 (4.20)",Moderate (2.50),Democrat (1.30),Disagree (0.50),Agree (1.70),wrong value (0.50),wrong value (0.40),correct value (0.60),2.1,1.6,1.0,70.13,0.8,192.143,false_doc1,Facebook Post,2020-28-03,Facebook Posts,FALSE,correct,Says COVID19 remains in the air for eight hours and that everyone is now required to wear maskseverywhereï½,0.8,2020-28-03,Facebook Post
1,wrong_15,Says COVID19 remains in the air for eight hours and that everyone is now required to wear maskseverywhereï½,1.0,26-35 (1.20),4 year college/bachelor degree (1.80),"30,000 to less than 40,000 (3.40)",Liberal (2.80),Democrat (1.30),No opinion either way (0.70),Agree (1.70),wrong value (0.40),wrong value (0.30),wrong value (0.40),2.1,2.6,1.0,70.13,1.8,270.035,false_doc1,Facebook Post,2020-28-03,Facebook Posts,FALSE,wrong,Says COVID19 remains in the air for eight hours and that everyone is now required to wear maskseverywhereï½,1.8,2020-28-03,Facebook Post
4,wrong_15,Says COVID19 remains in the air for eight hours and that everyone is now required to wear maskseverywhereâ,1.5,26-35 (1.30),"Postgrad. or professional schooling, no degree (2.60)","50,000 to less than 75,000 (4.70)",Conservative (1.40),Democrat (0.70),Agree (1.80),Agree (2.00),wrong value (0.30),wrong value (0.00),wrong value (0.10),2.1,3.2,1.0,70.13,2.4,136.51625,false_doc1,Facebook Post,2020-28-03,Facebook Posts,FALSE,wrong,Says COVID19 remains in the air for eight hours and that everyone is now required to wear maskseverywhereâ,2.4,2020-28-03,Facebook Post
1,correct_15,Slices of lemon in a cup of hot water can save your life The hot lemon can kill the proliferation ofâ the novel coronavirus,1.0,26-35 (1.30),4 year college/bachelor degree (2.30),"50,000 to less than 75,000 (4.60)",Moderate (2.00),Democrat (1.00),Agree (1.50),Agree (1.60),correct value (0.70),wrong value (0.20),wrong value (0.50),3.4,1.4,1.0,72.5,0.8,142.951,false_doc3,Facebook Post,2020-23-03,Chain Message,FALSE,correct,Slices of lemon in a cup of hot water can save your life The hot lemon can kill the proliferation ofâ the novel coronavirus,0.8,2020-23-03,Facebook Post
4,wrong_15,Slices of lemon in a cup of hot water can save your life The hot lemon can kill the proliferation ofâ the novel coronavirus,1.9,26-35 (1.10),4 year college/bachelor degree (2.30),"50,000 to less than 75,000 (4.60)",Moderate (1.90),Democrat (0.80),Agree (1.80),Agree (1.80),wrong value (0.50),wrong value (0.10),wrong value (0.50),3.4,3.8,1.7,72.5,2.8,133.3011111111111,false_doc3,Facebook Post,2020-23-03,Chain Message,FALSE,wrong,Slices of lemon in a cup of hot water can save your life The hot lemon can kill the proliferation ofâ the novel coronavirus,2.8,2020-23-03,Facebook Post
1,correct_15,Drinkingwater a lot and gargling with warm watersalt or vinegar eliminatesï½ the coronavirus,1.0,26-35 (0.90),4 year college/bachelor degree (1.90),"75,000 to less than 100,000 (5.70)",Liberal (2.80),Democrat (1.40),No opinion either way (0.90),Agree (1.70),wrong value (0.40),correct value (0.60),correct value (0.70),3.7,0.7,1.0,41.36,0.5,186.348,false_doc5,Viral Image,2020-13-03,Viral Image,FALSE,correct,Drinkingwater a lot and gargling with warm watersalt or vinegar eliminatesï½ the coronavirus,0.5,2020-13-03,Viral Image
4,wrong_15,Drinkingwater a lot and gargling with warm watersalt or vinegar eliminatesâ the coronavirus,1.2,26-35 (1.10),4 year college/bachelor degree (2.00),"40,000 to less than 50,000 (4.10)",Moderate (1.80),Democrat (0.60),Agree (1.80),Agree (1.80),wrong value (0.10),wrong value (0.30),wrong value (0.40),3.7,2.7,1.6,41.36,2.1,154.24200000000002,false_doc5,Viral Image,2020-13-03,Viral Image,FALSE,wrong,Drinkingwater a lot and gargling with warm watersalt or vinegar eliminatesâ the coronavirus,2.1,2020-13-03,Viral Image
3,correct_15,Weve got to give the American public a rough estimate of how long we think this is going to take based mostly on the South Korean model which seems to be the trajectory that we are on thankfully and not the Italian model,1.2,26-35 (1.30),"Postgrad. or professional schooling, no degree (2.80)","75,000 to less than 100,000 (5.60)",Moderate (2.50),Democrat (1.00),No opinion either way (1.30),Agree (1.60),wrong value (0.40),wrong value (0.10),wrong value (0.30),4.6,2.3,1.3,44.75,0.9,160.603,half-true_doc4,Brian Fitzpatrick,2020-23-03,Comments On The Radio,half-true,correct,Weve got to give the American public a rough estimate of how long we think this is going to take based mostly on the South Korean model which seems to be the trajectory that we are on thankfully and not the Italian model,0.9,2020-23-03,Brian Fitzpatrick
4,correct_15,Weâve got to give the American public a rough estimate of how long we think this is going to take based mostly on the South Korean model which seems to be the trajectory that we are on thankfully and not the Italian model,2.0,26-35 (0.70),4 year college/bachelor degree (2.30),"40,000 to less than 50,000 (3.90)",Moderate (1.70),Democrat (1.00),Agree (1.90),Agree (1.80),wrong value (0.00),wrong value (0.00),wrong value (0.30),4.6,2.8,2.0,44.75,0.8,214.92400000000004,half-true_doc4,Brian Fitzpatrick,2020-23-03,Comments On The Radio,half-true,correct,Weâve got to give the American public a rough estimate of how long we think this is going to take based mostly on the South Korean model which seems to be the trajectory that we are on thankfully and not the Italian model,0.8,2020-23-03,Brian Fitzpatrick
2,wrong_15,Weâve got to give the American public a rough estimate of how long we think this is going to take based mostly on the South Korean model which seems to be the trajectory that we are on thankfully and not the Italian model,1.0,26-35 (1.10),4 year college/bachelor degree (2.20),"40,000 to less than 50,000 (4.00)",Liberal (2.80),Democrat (1.20),Disagree (0.20),Agree (2.00),wrong value (0.40),correct value (0.70),wrong value (0.30),4.6,2.1,1.0,44.75,1.5,171.044,half-true_doc4,Brian Fitzpatrick,2020-23-03,Comments On The Radio,half-true,wrong,Weâve got to give the American public a rough estimate of how long we think this is going to take based mostly on the South Korean model which seems to be the trajectory that we are on thankfully and not the Italian model,1.5,2020-23-03,Brian Fitzpatrick
3,correct_15,Says Donald Trump himself has a financial stake in the French company that makes the brandname version of hydroxychloroquine,1.3,36-50 (1.60),4 year college/bachelor degree (2.50),"50,000 to less than 75,000 (5.10)",Moderate (1.80),Democrat (1.10),No opinion either way (1.40),Agree (1.80),wrong value (0.30),wrong value (0.10),wrong value (0.30),4.3,3.4,1.4,52.19,1.0,170.584,half-true_doc9,Facebook Post,7/4/2020,Facebook posts,half-true,correct,Says Donald Trump himself has a financial stake in the French company that makes the brandname version of hydroxychloroquine,1.0,7/4/2020,Facebook Post
1,wrong_15,Says Donald Trump himself has a financial stake in the French company that makes the brandname version of hydroxychloroquine,1.0,26-35 (0.90),4 year college/bachelor degree (2.50),"50,000 to less than 75,000 (5.30)",Moderate (2.00),Democrat (1.00),No opinion either way (1.10),Agree (1.90),wrong value (0.30),wrong value (0.30),wrong value (0.30),4.3,3.1,1.0,52.19,1.9,161.411,half-true_doc9,Facebook Post,7/4/2020,Facebook posts,half-true,wrong,Says Donald Trump himself has a financial stake in the French company that makes the brandname version of hydroxychloroquine,1.9,7/4/2020,Facebook Post
2,correct_15,Says most NC legislators are in the high risk age group for coronavirus,1.0,26-35 (0.90),Some college (etc.) (1.40),"50,000 to less than 75,000 (5.00)",Liberal (2.70),Democrat (0.90),No opinion either way (0.80),Agree (1.80),correct value (0.80),wrong value (0.50),wrong value (0.40),3.3,4.2,1.1,75.2,0.8,154.254,true_doc4,Kelly Alexander,2020-14-03,Tweet,TRUE,correct,Says most NC legislators are in the high risk age group for coronavirus,0.8,2020-14-03,Kelly Alexander
3,wrong_15,Says most NC legislators are in the high risk age group for coronavirus,1.1,26-35 (1.40),"Postgrad. or professional schooling, no degree (2.70)","40,000 to less than 50,000 (3.90)",Conservative (1.30),Democrat (0.70),Agree (1.90),Agree (2.00),wrong value (0.30),wrong value (0.30),wrong value (0.40),3.3,2.9,1.1,75.2,2.1,150.225,true_doc4,Kelly Alexander,2020-14-03,Tweet,TRUE,wrong,Says most NC legislators are in the high risk age group for coronavirus,2.1,2020-14-03,Kelly Alexander
