batch,doc_statement,current_try,q_0_age_answer,q_0_school_answer,q_0_taxes_answer,q_0_political_views_answer,q_0_consideration_answer,q_0_southern_border_answer,q_0_environment_answer,q_1_farmers_value,q_2_marks_value,q_3_athletics_value,doc_index,doc_truthfulness_value,doc_accesses,fre,distance,doc_time_elapsed,doc_name,doc_claimant,doc_date,doc_originatedFrom,doc_ground_truth_label
1,It has been estimated that only 12 of workers in businesses that are likely to stay open during this crisis are receiving paid sick leave benefits as a result of the second coronavirus relief package,1.0,26-35 (0.90),4 year college/bachelor degree (1.90),"75,000 to less than 100,000 (5.70)",Liberal (2.80),Democrat (1.40),No opinion either way (0.90),Agree (1.70),wrong value (0.40),correct value (0.60),correct value (0.70),1.4,3.8,1.0,35.95,0.4,252.97899999999998,mostly-true_doc8,Bernie Sanders,8/4/2020,The Guardian,mostly-true
1,Nonessential people get to file for unemployment and make two to three times more than normalï½ but essential workers still on the job get no pay raise,1.0,26-35 (0.90),4 year college/bachelor degree (1.90),"75,000 to less than 100,000 (5.70)",Liberal (2.80),Democrat (1.40),No opinion either way (0.90),Agree (1.70),wrong value (0.40),correct value (0.60),correct value (0.70),3.7,3.2,1.0,69.45,0.4,258.96,half-true_doc10,Facebook Post,1/4/2020,Facebook posts,half-true
1,Says Spectrum will provide free internet to students during coronavirus school closures,1.0,26-35 (0.90),4 year college/bachelor degree (1.90),"75,000 to less than 100,000 (5.70)",Liberal (2.80),Democrat (1.40),No opinion either way (0.90),Agree (1.70),wrong value (0.40),correct value (0.60),correct value (0.70),4.3,4.3,1.0,42.38,0.7,192.775,true_doc5,Viral Image,2020-13-03,Facebook Post,TRUE
1,Says truck drivers are being turned away from fastfood restaurants during the COVID19 pandemic,1.0,26-35 (1.30),4 year college/bachelor degree (2.30),"50,000 to less than 75,000 (4.60)",Moderate (2.00),Democrat (1.00),Agree (1.50),Agree (1.60),correct value (0.70),wrong value (0.20),wrong value (0.50),4.1,3.5,1.1,65.73,0.7,161.768,mostly-true_doc2,Facebook Post,2020-20-03,Facebook Posts,mostly-true
1,COVID literally stands for Chinese Originated Viral Infectious Disease,1.0,26-35 (1.30),4 year college/bachelor degree (2.30),"50,000 to less than 75,000 (4.60)",Moderate (2.00),Democrat (1.00),Agree (1.50),Agree (1.60),correct value (0.70),wrong value (0.20),wrong value (0.50),2.4,0.8,1.0,11.58,0.8,200.125,pants-on-fire_doc4,Facebook Post,2020-25-03,Viral Image,pants-on-fire
1,Ron Johnson said Americans should go back to work becausedeath is an unavoidable part of lifeï½,1.0,26-35 (1.20),4 year college/bachelor degree (1.80),"30,000 to less than 40,000 (3.40)",Liberal (2.80),Democrat (1.30),No opinion either way (0.70),Agree (1.70),wrong value (0.40),wrong value (0.30),wrong value (0.40),3.9,3.2,1.3,72.16,1.0,185.631,half-true_doc1,Facebook Post,2020-31-03,Facebook Posts,half-true
1,Says longstanding Food and Drug Administration regulationscreated barriers to the private industry creating a test quicklyï½ for the coronavirus,1.1,26-35 (1.20),4 year college/bachelor degree (2.20),"50,000 to less than 75,000 (5.30)",Moderate (2.50),Democrat (0.80),Disagree (0.50),Agree (1.80),wrong value (0.50),wrong value (0.30),wrong value (0.50),3.1,3.9,1.1,1.43,1.1,261.998,true_doc8,Dan Crenshaw,2020-13-03,Tweet,TRUE
1,the US is developing anantivirusï½ that includes a chip to track your movement,1.0,26-35 (1.20),4 year college/bachelor degree (1.80),"30,000 to less than 40,000 (3.40)",Liberal (2.80),Democrat (1.30),No opinion either way (0.70),Agree (1.70),wrong value (0.40),wrong value (0.30),wrong value (0.40),3.5,1.4,1.2,66.74,1.4,176.38,pants-on-fire_doc9,Facebook User,2020-16-03,Facebook Post,pants-on-fire
1,Post saysthe blood test for coronavirus costs 3200ï½,1.0,26-35 (0.90),4 year college/bachelor degree (1.90),"75,000 to less than 100,000 (5.70)",Liberal (2.80),Democrat (1.40),No opinion either way (0.90),Agree (1.70),wrong value (0.40),correct value (0.60),correct value (0.70),4.1,1.5,1.0,88.74,1.5,162.185,mostly-false_doc6,Facebook Post,2020-27-02,Facebook Posts,mostly-false
1,For coronavirus casesin the US 38 of those hospitalized are under 35ï½,1.0,36-50 (1.50),4 year college/bachelor degree (2.00),"40,000 to less than 50,000 (4.30)",Liberal (2.70),Democrat (0.70),No opinion either way (0.70),Agree (2.00),wrong value (0.30),wrong value (0.30),wrong value (0.50),3.3,2.9,1.1,59.3,1.7,280.73199999999997,mostly-false_doc2,Marco Rubio,2020-19-03,Tweet,mostly-false
1,Says a5G LAW PASSED while everyone was distractedï½ with the coronavirus pandemic and lists 20 symptoms associated with 5G exposure,1.2,26-35 (1.00),4 year college/bachelor degree (1.70),"40,000 to less than 50,000 (4.10)",Moderate (2.50),Democrat (0.90),No opinion either way (0.90),Agree (2.00),wrong value (0.20),wrong value (0.20),wrong value (0.50),4.0,2.8,1.0,34.26,1.8,234.68199999999996,mostly-false_doc9,Facebook Post,2020-28-03,Facebook Posts,mostly-false
1,A post sayhair weave and lace fronts manufactured in China may contain the coronavirusï½,1.3,26-35 (1.10),4 year college/bachelor degree (2.40),"40,000 to less than 50,000 (4.30)",Moderate (2.30),Democrat (0.70),No opinion either way (0.80),Agree (1.70),wrong value (0.40),wrong value (0.40),wrong value (0.50),3.5,1.9,1.0,57.27,1.9,185.06199999999998,pants-on-fire_doc5,Bloggers,2020-26-02,Internet Posts,pants-on-fire
1,Says Nevada Governor Steve Sisolakhas banned the use of an antimalaria drug that might help cure coronavirusï½,1.0,26-35 (1.20),4 year college/bachelor degree (1.80),"30,000 to less than 40,000 (3.40)",Liberal (2.80),Democrat (1.30),No opinion either way (0.70),Agree (1.70),wrong value (0.40),wrong value (0.30),wrong value (0.40),3.9,3.9,1.2,62.67999999999999,1.9,232.708,mostly-false_doc1,Turning Point Usa,2020-25-03,Facebook Post,mostly-false
1,The government is closing businesses to stop the spread of coronavirus even though the numbers are nothing compared to H1N1 or Ebola Everyone needs to realize our government is up to something,1.1,26-35 (1.20),4 year college/bachelor degree (2.20),"50,000 to less than 75,000 (5.30)",Moderate (2.50),Democrat (0.80),Disagree (0.50),Agree (1.80),wrong value (0.50),wrong value (0.30),wrong value (0.50),5.4,2.0,1.1,39.0,2.0,310.55,pants-on-fire_doc8,Facebook User,2020-16-03,Facebook Post,pants-on-fire
1,This particular pandemic is one where I donï½t think nationwide thereï½s been a single fatality under 25,1.0,36-50 (1.50),4 year college/bachelor degree (2.00),"40,000 to less than 50,000 (4.30)",Liberal (2.70),Democrat (0.70),No opinion either way (0.70),Agree (2.00),wrong value (0.30),wrong value (0.30),wrong value (0.50),3.0,2.2,1.1,45.76,2.2,283.65999999999997,pants-on-fire_doc7,Ron Desantis,9/4/2020,Meeting,pants-on-fire
1,We inherited a broken testï½ for COVID19,1.2,26-35 (1.00),4 year college/bachelor degree (1.70),"40,000 to less than 50,000 (4.10)",Moderate (2.50),Democrat (0.90),No opinion either way (0.90),Agree (2.00),wrong value (0.20),wrong value (0.20),wrong value (0.50),3.3,3.2,1.2,64.37,3.2,166.318,pants-on-fire_doc2,Donald Trump,2020-30-03,"Interview on ""Fox and Friends""",pants-on-fire
2,Nonessential people get to file for unemployment and make two to three times more than normalâ but essential workers still on the job get no pay raise,1.1,26-35 (1.10),4 year college/bachelor degree (1.70),"50,000 to less than 75,000 (4.60)",Moderate (2.20),Democrat (1.40),No opinion either way (1.00),Agree (1.60),wrong value (0.50),wrong value (0.40),correct value (0.60),3.7,2.9,1.0,69.45,0.5,173.589,half-true_doc10,Facebook Post,1/4/2020,Facebook posts,half-true
2,It has been estimated that only 12 of workers in businesses that are likely to stay open during this crisis are receiving paid sick leave benefits as a result of the second coronavirus relief package,1.1,26-35 (1.10),4 year college/bachelor degree (1.70),"50,000 to less than 75,000 (4.60)",Moderate (2.20),Democrat (1.40),No opinion either way (1.00),Agree (1.60),wrong value (0.50),wrong value (0.40),correct value (0.60),1.4,4.2,1.0,35.95,0.6,298.03,mostly-true_doc8,Bernie Sanders,8/4/2020,The Guardian,mostly-true
2,Ron Johnson said Americans should go back to work becausedeath is an unavoidable part of lifeï½,1.1,26-35 (1.00),4 year college/bachelor degree (1.90),"40,000 to less than 50,000 (4.20)",Moderate (2.50),Democrat (1.30),Disagree (0.50),Agree (1.70),wrong value (0.50),wrong value (0.40),correct value (0.60),3.9,2.8,1.0,72.16,0.6,163.174,half-true_doc1,Facebook Post,2020-31-03,Facebook Posts,half-true
2,the US is developing anantivirusï½ that includes a chip to track your movement,1.1,26-35 (1.00),4 year college/bachelor degree (1.90),"40,000 to less than 50,000 (4.20)",Moderate (2.50),Democrat (1.30),Disagree (0.50),Agree (1.70),wrong value (0.50),wrong value (0.40),correct value (0.60),3.5,0.6,1.0,66.74,0.6,183.686,pants-on-fire_doc9,Facebook User,2020-16-03,Facebook Post,pants-on-fire
2,Says Spectrum will provide free internet to students during coronavirus school closures,1.1,26-35 (1.10),4 year college/bachelor degree (1.70),"50,000 to less than 75,000 (4.60)",Moderate (2.20),Democrat (1.40),No opinion either way (1.00),Agree (1.60),wrong value (0.50),wrong value (0.40),correct value (0.60),4.3,4.0,1.0,42.38,1.0,82.09299999999999,true_doc5,Viral Image,2020-13-03,Facebook Post,TRUE
2,Says a5G LAW PASSED while everyone was distractedâ with the coronavirus pandemic and lists 20 symptoms associated with 5G exposure,1.1,36-50 (1.50),4 year college/bachelor degree (1.50),"40,000 to less than 50,000 (4.10)",Moderate (2.40),Democrat (1.20),No opinion either way (0.80),Agree (1.60),wrong value (0.40),wrong value (0.30),wrong value (0.30),4.0,2.1,1.1,34.26,1.1,210.664,mostly-false_doc9,Facebook Post,2020-28-03,Facebook Posts,mostly-false
2,For coronavirus casesin the US 38 of those hospitalized are under 35â,1.0,26-35 (0.90),Some college (etc.) (1.40),"50,000 to less than 75,000 (5.00)",Liberal (2.70),Democrat (0.90),No opinion either way (0.80),Agree (1.80),correct value (0.80),wrong value (0.50),wrong value (0.40),3.3,2.4,1.0,59.3,1.2,172.388,mostly-false_doc2,Marco Rubio,2020-19-03,Tweet,mostly-false
2,Says Nevada Governor Steve Sisolakhas banned the use of an antimalaria drug that might help cure coronavirusï½,1.1,26-35 (1.00),4 year college/bachelor degree (1.90),"40,000 to less than 50,000 (4.20)",Moderate (2.50),Democrat (1.30),Disagree (0.50),Agree (1.70),wrong value (0.50),wrong value (0.40),correct value (0.60),3.9,3.2,1.0,62.67999999999999,1.2,180.62444444444446,mostly-false_doc1,Turning Point Usa,2020-25-03,Facebook Post,mostly-false
2,Says truck drivers are being turned away from fastfood restaurants during the COVID19 pandemic,1.1,26-35 (1.20),4 year college/bachelor degree (2.30),"75,000 to less than 100,000 (5.50)",Moderate (2.20),Democrat (1.40),No opinion either way (0.80),Agree (1.50),wrong value (0.30),wrong value (0.30),correct value (0.60),4.1,3.1,1.0,65.73,1.3,128.304,mostly-true_doc2,Facebook Post,2020-20-03,Facebook Posts,mostly-true
2,COVID literally stands for Chinese Originated Viral Infectious Disease,1.1,26-35 (1.20),4 year college/bachelor degree (2.30),"75,000 to less than 100,000 (5.50)",Moderate (2.20),Democrat (1.40),No opinion either way (0.80),Agree (1.50),wrong value (0.30),wrong value (0.30),correct value (0.60),2.4,1.5,1.0,11.58,1.5,176.2188888888889,pants-on-fire_doc4,Facebook Post,2020-25-03,Viral Image,pants-on-fire
2,Post saysthe blood test for coronavirus costs 3200â,1.1,26-35 (1.10),4 year college/bachelor degree (1.70),"50,000 to less than 75,000 (4.60)",Moderate (2.20),Democrat (1.40),No opinion either way (1.00),Agree (1.60),wrong value (0.50),wrong value (0.40),correct value (0.60),4.1,2.1,1.1,88.74,1.5,95.849,mostly-false_doc6,Facebook Post,2020-27-02,Facebook Posts,mostly-false
2,Says longstanding Food and Drug Administration regulationscreated barriers to the private industry creating a test quicklyâ for the coronavirus,1.0,26-35 (1.10),4 year college/bachelor degree (2.10),"40,000 to less than 50,000 (4.50)",Moderate (1.90),Democrat (1.00),No opinion either way (1.30),Agree (1.90),wrong value (0.20),wrong value (0.00),wrong value (0.40),3.1,3.4,1.1,1.43,1.6,120.499,true_doc8,Dan Crenshaw,2020-13-03,Tweet,TRUE
2,A post sayhair weave and lace fronts manufactured in China may contain the coronavirusâ,1.1,26-35 (1.40),4 year college/bachelor degree (1.90),"50,000 to less than 75,000 (5.00)",Moderate (2.50),Democrat (1.00),No opinion either way (0.80),Agree (1.70),correct value (0.60),wrong value (0.40),wrong value (0.20),3.5,1.8,1.0,57.27,1.8,162.55599999999998,pants-on-fire_doc5,Bloggers,2020-26-02,Internet Posts,pants-on-fire
2,This particular pandemic is one where I donât think nationwide thereâs been a single fatality under 25,1.0,26-35 (0.90),Some college (etc.) (1.40),"50,000 to less than 75,000 (5.00)",Liberal (2.70),Democrat (0.90),No opinion either way (0.80),Agree (1.80),correct value (0.80),wrong value (0.50),wrong value (0.40),3.0,1.9,1.2,45.76,1.9,127.748,pants-on-fire_doc7,Ron Desantis,9/4/2020,Meeting,pants-on-fire
2,We inherited a broken testâ for COVID19,1.1,36-50 (1.50),4 year college/bachelor degree (1.50),"40,000 to less than 50,000 (4.10)",Moderate (2.40),Democrat (1.20),No opinion either way (0.80),Agree (1.60),wrong value (0.40),wrong value (0.30),wrong value (0.30),3.3,1.9,1.0,64.37,1.9,123.35499999999999,pants-on-fire_doc2,Donald Trump,2020-30-03,"Interview on ""Fox and Friends""",pants-on-fire
2,The government is closing businesses to stop the spread of coronavirus even though the numbers are nothing compared to H1N1 or Ebola Everyone needs to realize our government is up to something,1.0,26-35 (1.10),4 year college/bachelor degree (2.10),"40,000 to less than 50,000 (4.50)",Moderate (1.90),Democrat (1.00),No opinion either way (1.30),Agree (1.90),wrong value (0.20),wrong value (0.00),wrong value (0.40),5.4,2.4,1.0,39.0,2.4,135.478,pants-on-fire_doc8,Facebook User,2020-16-03,Facebook Post,pants-on-fire
3,It has been estimated that only 12 of workers in businesses that are likely to stay open during this crisis are receiving paid sick leave benefits as a result of the second coronavirus relief package,1.3,36-50 (1.80),4 year college/bachelor degree (1.90),"40,000 to less than 50,000 (3.90)",Moderate (1.70),Democrat (0.60),No opinion either way (1.40),Agree (1.60),wrong value (0.50),wrong value (0.40),wrong value (0.50),1.4,3.9,1.1,35.95,0.9,352.64444444444445,mostly-true_doc8,Bernie Sanders,8/4/2020,The Guardian,mostly-true
3,Nonessential people get to file for unemployment and make two to three times more than normal but essential workers still on the job get no pay raise,1.3,36-50 (1.80),4 year college/bachelor degree (1.90),"40,000 to less than 50,000 (3.90)",Moderate (1.70),Democrat (0.60),No opinion either way (1.40),Agree (1.60),wrong value (0.50),wrong value (0.40),wrong value (0.50),3.7,2.9,1.0,69.45,0.9,252.67200000000003,half-true_doc10,Facebook Post,1/4/2020,Facebook posts,half-true
3,Says Spectrum will provide free internet to students during coronavirus school closures,1.3,36-50 (1.80),4 year college/bachelor degree (1.90),"40,000 to less than 50,000 (3.90)",Moderate (1.70),Democrat (0.60),No opinion either way (1.40),Agree (1.60),wrong value (0.50),wrong value (0.40),wrong value (0.50),4.3,4.0,1.3,42.38,1.0,249.91199999999998,true_doc5,Viral Image,2020-13-03,Facebook Post,TRUE
3,Says truck drivers are being turned away from fastfood restaurants during the COVID19 pandemic,1.2,26-35 (0.90),4 year college/bachelor degree (2.40),"40,000 to less than 50,000 (3.90)",Moderate (2.30),Democrat (1.10),No opinion either way (1.10),Agree (1.60),wrong value (0.50),wrong value (0.40),wrong value (0.30),4.1,4.2,1.5,65.73,1.0,167.648,mostly-true_doc2,Facebook Post,2020-20-03,Facebook Posts,mostly-true
3,Ron Johnson said Americans should go back to work because death is an unavoidable part of life,1.4,26-35 (1.00),4 year college/bachelor degree (2.30),"40,000 to less than 50,000 (3.90)",Moderate (2.00),Democrat (0.70),Agree (1.50),Agree (2.00),wrong value (0.40),wrong value (0.40),wrong value (0.40),3.9,3.9,1.4,71.446,1.1,101.71666666666667,half-true_doc1,Facebook Post,2020-31-03,Facebook Posts,half-true
3,Post says the blood test for coronavirus costs 3200,1.3,36-50 (1.80),4 year college/bachelor degree (1.90),"40,000 to less than 50,000 (3.90)",Moderate (1.70),Democrat (0.60),No opinion either way (1.40),Agree (1.60),wrong value (0.50),wrong value (0.40),wrong value (0.50),4.1,1.8,1.5,95.436,1.2,203.33499999999998,mostly-false_doc6,Facebook Post,2020-27-02,Facebook Posts,mostly-false
3,COVID literally stands for Chinese Originated Viral Infectious Disease,1.2,26-35 (0.90),4 year college/bachelor degree (2.40),"40,000 to less than 50,000 (3.90)",Moderate (2.30),Democrat (1.10),No opinion either way (1.10),Agree (1.60),wrong value (0.50),wrong value (0.40),wrong value (0.30),2.4,1.7,1.4,11.58,1.7,140.019,pants-on-fire_doc4,Facebook Post,2020-25-03,Viral Image,pants-on-fire
3,Says a 5G LAW PASSED while everyone was distracted with the coronavirus pandemic and lists 20 symptoms associated with 5G exposure,1.3,36-50 (1.70),4 year college/bachelor degree (1.90),"40,000 to less than 50,000 (3.70)",Moderate (1.50),Republican (0.50),Agree (1.90),Agree (1.80),wrong value (0.20),wrong value (0.10),wrong value (0.50),4.0,3.4,1.3,39.468,1.8,115.68799999999999,mostly-false_doc9,Facebook Post,2020-28-03,Facebook Posts,mostly-false
3,Says longstanding Food and Drug Administration regulations created barriers to the private industry creating a test quickly for the coronavirus,1.0,36-50 (1.50),4 year college/bachelor degree (2.20),"40,000 to less than 50,000 (3.50)",Moderate (1.70),Democrat (0.60),Agree (1.70),Agree (2.00),correct value (0.80),wrong value (0.10),wrong value (0.40),3.1,3.2,1.0,7.390000000000001,1.8,210.714,true_doc8,Dan Crenshaw,2020-13-03,Tweet,TRUE
3,For coronavirus cases in the US 38 of those hospitalized are under 35,1.1,26-35 (1.40),"Postgrad. or professional schooling, no degree (2.70)","40,000 to less than 50,000 (3.90)",Conservative (1.30),Democrat (0.70),Agree (1.90),Agree (2.00),wrong value (0.30),wrong value (0.30),wrong value (0.40),3.3,3.7,1.1,63.763999999999996,1.9,144.409,mostly-false_doc2,Marco Rubio,2020-19-03,Tweet,mostly-false
3,Says Nevada Governor Steve Sisolak has banned the use of an antimalaria drug that might help cure coronavirus,1.4,26-35 (1.00),4 year college/bachelor degree (2.30),"40,000 to less than 50,000 (3.90)",Moderate (2.00),Democrat (0.70),Agree (1.50),Agree (2.00),wrong value (0.40),wrong value (0.40),wrong value (0.40),3.9,4.0,1.3,61.973,2.0,126.29777777777778,mostly-false_doc1,Turning Point Usa,2020-25-03,Facebook Post,mostly-false
3,the US is developing an antivirus that includes a chip to track your movement,1.4,26-35 (1.00),4 year college/bachelor degree (2.30),"40,000 to less than 50,000 (3.90)",Moderate (2.00),Democrat (0.70),Agree (1.50),Agree (2.00),wrong value (0.40),wrong value (0.40),wrong value (0.40),3.5,2.3,1.2,71.955,2.3,152.36700000000002,pants-on-fire_doc9,Facebook User,2020-16-03,Facebook Post,pants-on-fire
3,A post say hair weave and lace fronts manufactured in China may contain the coronavirus,1.1,36-50 (1.60),4 year college/bachelor degree (2.20),"40,000 to less than 50,000 (3.90)",Moderate (1.70),Democrat (0.60),No opinion either way (1.40),Agree (2.00),wrong value (0.20),wrong value (0.30),wrong value (0.30),3.5,3.3,1.0,63.221999999999994,3.3,159.416,pants-on-fire_doc5,Bloggers,2020-26-02,Internet Posts,pants-on-fire
3,This particular pandemic is one where I dont think nationwide theres been a single fatality under 25,1.1,26-35 (1.40),"Postgrad. or professional schooling, no degree (2.70)","40,000 to less than 50,000 (3.90)",Conservative (1.30),Democrat (0.70),Agree (1.90),Agree (2.00),wrong value (0.30),wrong value (0.30),wrong value (0.40),3.0,3.5,1.0,45.76,3.5,112.398,pants-on-fire_doc7,Ron Desantis,9/4/2020,Meeting,pants-on-fire
3,The government is closing businesses to stop the spread of coronavirus even though the numbers are nothing compared to H1N1 or Ebola Everyone needs to realize our government is up to something ,1.0,36-50 (1.50),4 year college/bachelor degree (2.20),"40,000 to less than 50,000 (3.50)",Moderate (1.70),Democrat (0.60),Agree (1.70),Agree (2.00),correct value (0.80),wrong value (0.10),wrong value (0.40),5.4,3.8,1.0,39.0,3.8,116.872,pants-on-fire_doc8,Facebook User,2020-16-03,Facebook Post,pants-on-fire
3,We inherited a broken test for COVID19,1.3,36-50 (1.70),4 year college/bachelor degree (1.90),"40,000 to less than 50,000 (3.70)",Moderate (1.50),Republican (0.50),Agree (1.90),Agree (1.80),wrong value (0.20),wrong value (0.10),wrong value (0.50),3.3,3.9,1.3,64.37,3.9,132.85399999999998,pants-on-fire_doc2,Donald Trump,2020-30-03,"Interview on ""Fox and Friends""",pants-on-fire
4,Nonessential people get to file for unemployment and make two to three times more than normalâ but essential workers still on the job get no pay raise,1.2,26-35 (1.10),4 year college/bachelor degree (2.00),"40,000 to less than 50,000 (4.10)",Moderate (1.80),Democrat (0.60),Agree (1.80),Agree (1.80),wrong value (0.10),wrong value (0.30),wrong value (0.40),3.7,3.6,1.1,69.45,0.6,151.477,half-true_doc10,Facebook Post,1/4/2020,Facebook posts,half-true
4,Says Spectrum will provide free internet to students during coronavirus school closures,1.2,26-35 (1.10),4 year college/bachelor degree (2.00),"40,000 to less than 50,000 (4.10)",Moderate (1.80),Democrat (0.60),Agree (1.80),Agree (1.80),wrong value (0.10),wrong value (0.30),wrong value (0.40),4.3,4.0,1.3,42.38,1.0,174.60500000000002,true_doc5,Viral Image,2020-13-03,Facebook Post,TRUE
4,Says truck drivers are being turned away from fastfood restaurants during the COVID19 pandemic,1.9,26-35 (1.10),4 year college/bachelor degree (2.30),"50,000 to less than 75,000 (4.60)",Moderate (1.90),Democrat (0.80),Agree (1.80),Agree (1.80),wrong value (0.50),wrong value (0.10),wrong value (0.50),4.1,3.0,2.1,65.73,1.0,117.043,mostly-true_doc2,Facebook Post,2020-20-03,Facebook Posts,mostly-true
4,Ron Johnson said Americans should go back to work becausedeath is an unavoidable part of lifeâ,1.5,26-35 (1.30),"Postgrad. or professional schooling, no degree (2.60)","50,000 to less than 75,000 (4.70)",Conservative (1.40),Democrat (0.70),Agree (1.80),Agree (2.00),wrong value (0.30),wrong value (0.00),wrong value (0.10),3.9,3.7,1.6,72.16,1.1,75.979,half-true_doc1,Facebook Post,2020-31-03,Facebook Posts,half-true
4,It has been estimated that only 12 of workers in businesses that are likely to stay open during this crisis are receiving paid sick leave benefits as a result of the second coronavirus relief package,1.2,26-35 (1.10),4 year college/bachelor degree (2.00),"40,000 to less than 50,000 (4.10)",Moderate (1.80),Democrat (0.60),Agree (1.80),Agree (1.80),wrong value (0.10),wrong value (0.30),wrong value (0.40),1.4,3.3,1.2,35.95,1.5,189.00222222222223,mostly-true_doc8,Bernie Sanders,8/4/2020,The Guardian,mostly-true
4,For coronavirus casesin the US 38 of those hospitalized are under 35â,2.4,26-35 (1.20),4 year college/bachelor degree (1.90),"40,000 to less than 50,000 (3.70)",Moderate (1.90),Democrat (0.90),Agree (1.70),Agree (1.80),wrong value (0.50),wrong value (0.10),wrong value (0.10),3.3,3.6,1.6,59.3,1.6,253.5677777777778,mostly-false_doc2,Marco Rubio,2020-19-03,Tweet,mostly-false
4,Says a5G LAW PASSED while everyone was distractedâ with the coronavirus pandemic and lists 20 symptoms associated with 5G exposure,1.5,26-35 (1.12),4 year college/bachelor degree (2.12),"40,000 to less than 50,000 (4.00)",Conservative (1.25),Republican (0.50),Agree (1.75),Agree (2.00),wrong value (0.25),wrong value (0.12),wrong value (0.12),3.875,3.625,1.5,34.26,1.625,54.91625,mostly-false_doc9,Facebook Post,2020-28-03,Facebook Posts,mostly-false
4,Post saysthe blood test for coronavirus costs 3200â,1.2,26-35 (1.10),4 year college/bachelor degree (2.00),"40,000 to less than 50,000 (4.10)",Moderate (1.80),Democrat (0.60),Agree (1.80),Agree (1.80),wrong value (0.10),wrong value (0.30),wrong value (0.40),4.1,1.9,1.3,88.74,1.7,75.89,mostly-false_doc6,Facebook Post,2020-27-02,Facebook Posts,mostly-false
4,Says Nevada Governor Steve Sisolakhas banned the use of an antimalaria drug that might help cure coronavirusâ,1.5,26-35 (1.30),"Postgrad. or professional schooling, no degree (2.60)","50,000 to less than 75,000 (4.70)",Conservative (1.40),Democrat (0.70),Agree (1.80),Agree (2.00),wrong value (0.30),wrong value (0.00),wrong value (0.10),3.9,3.6,1.2,62.67999999999999,2.0,92.141,mostly-false_doc1,Turning Point Usa,2020-25-03,Facebook Post,mostly-false
4,Says longstanding Food and Drug Administration regulationscreated barriers to the private industry creating a test quicklyâ for the coronavirus,1.6666666666666667,36-50 (1.78),4 year college/bachelor degree (2.22),"40,000 to less than 50,000 (3.89)",Moderate (1.56),Democrat (0.56),Agree (2.00),Agree (2.00),wrong value (0.33),wrong value (0.33),wrong value (0.22),3.3333333333333335,3.0,1.2222222222222223,1.43,2.0,98.3875,true_doc8,Dan Crenshaw,2020-13-03,Tweet,TRUE
4,A post sayhair weave and lace fronts manufactured in China may contain the coronavirusâ,2.6,36-50 (1.50),4 year college/bachelor degree (2.10),"30,000 to less than 40,000 (3.40)",Moderate (2.10),Republican (0.40),Agree (1.80),Agree (2.00),wrong value (0.20),wrong value (0.20),wrong value (0.30),3.5,2.5,2.0,57.27,2.5,144.283,pants-on-fire_doc5,Bloggers,2020-26-02,Internet Posts,pants-on-fire
4,COVID literally stands for Chinese Originated Viral Infectious Disease,1.9,26-35 (1.10),4 year college/bachelor degree (2.30),"50,000 to less than 75,000 (4.60)",Moderate (1.90),Democrat (0.80),Agree (1.80),Agree (1.80),wrong value (0.50),wrong value (0.10),wrong value (0.50),2.4,2.7,1.3,11.58,2.7,174.2588888888889,pants-on-fire_doc4,Facebook Post,2020-25-03,Viral Image,pants-on-fire
4,the US is developing anantivirusâ that includes a chip to track your movement,1.5,26-35 (1.30),"Postgrad. or professional schooling, no degree (2.60)","50,000 to less than 75,000 (4.70)",Conservative (1.40),Democrat (0.70),Agree (1.80),Agree (2.00),wrong value (0.30),wrong value (0.00),wrong value (0.10),3.5,2.9,1.4,66.74,2.9,105.441,pants-on-fire_doc9,Facebook User,2020-16-03,Facebook Post,pants-on-fire
4,We inherited a broken testâ for COVID19,1.5,26-35 (1.12),4 year college/bachelor degree (2.12),"40,000 to less than 50,000 (4.00)",Conservative (1.25),Republican (0.50),Agree (1.75),Agree (2.00),wrong value (0.25),wrong value (0.12),wrong value (0.12),3.25,3.125,2.625,64.37,3.125,57.89125,pants-on-fire_doc2,Donald Trump,2020-30-03,"Interview on ""Fox and Friends""",pants-on-fire
4,The government is closing businesses to stop the spread of coronavirus even though the numbers are nothing compared to H1N1 or Ebola Everyone needs to realize our government is up to something,1.6666666666666667,36-50 (1.78),4 year college/bachelor degree (2.22),"40,000 to less than 50,000 (3.89)",Moderate (1.56),Democrat (0.56),Agree (2.00),Agree (2.00),wrong value (0.33),wrong value (0.33),wrong value (0.22),5.222222222222222,3.3333333333333335,1.6666666666666667,39.0,3.3333333333333335,116.68222222222221,pants-on-fire_doc8,Facebook User,2020-16-03,Facebook Post,pants-on-fire
4,This particular pandemic is one where I donât think nationwide thereâs been a single fatality under 25,2.4,26-35 (1.20),4 year college/bachelor degree (1.90),"40,000 to less than 50,000 (3.70)",Moderate (1.90),Democrat (0.90),Agree (1.70),Agree (1.80),wrong value (0.50),wrong value (0.10),wrong value (0.10),3.0,4.0,1.2,45.76,4.0,178.989,pants-on-fire_doc7,Ron Desantis,9/4/2020,Meeting,pants-on-fire
